Company,Customer ID,Cliente,Pagador,Application ID,Loan ID,Product Type,Disbursement Date,TPV,Disbursement Amount,Origination Fee,Origination Fee Taxes,Loan Currency,Interest Rate APR,Term,Term Unit,Payment Frequency,Days in Default,Pledge To,Pledge Date,Loan Status,Outstanding Loan Value,Other,New Loan ID,New Loan Date,Old Loan ID,Recovery Date,Recovery Value,delinquency_bucket,risk_score,advance_rate
Abaco Financial,CLIAB000208,KEVIN ENRIQUE CLIENTE 011 MORALES,"ASSA COMPAÑIA DE SEGUROS, S.A.",DSB1710-011,DSB1710-011,factoring,2025-09-20,19623.17,46875.28,1877.54,280.8,USD,0.3258,30,days,bullet,1,,,Current,74417.69,,,,,,,early_delinquent,0.15935267817966897,1.0
Abaco Technologies,CLIAB000209,"TRANSPORTES MODERNOS, S.A. DE C.V.","EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. ETESAL, S.A. DE C.V.",DSB1711-012,DSB1711-012,factoring,2025-09-19,60805.16,17918.36,1191.65,281.35,USD,0.3461,90,days,bullet,1,,,Current,58751.23,,,,,,,early_delinquent,0.19767557988179674,0.2946848589823627
Abaco Financial,CLIAB000210,"SERVICIOS TECNICOS MEDICOS 13, S.A. DE C.V.","EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. ETESAL, S.A. DE C.V.",DSB1712-013,DSB1712-013,factoring,2025-09-18,1811.15,11247.52,2314.32,164.7,USD,0.3555,90,days,bullet,1,,,Current,52740.1,,,,,,,early_delinquent,0.21666444988179662,1.0
Abaco Financial,CLIAB000211,"PRODUCTOS DE CONCRETO, S.A. DE C.V.","EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. ETESAL, S.A. DE C.V.",DSB1713-014,DSB1713-014,factoring,2025-09-17,63790.19,70411.28,1729.52,131.93,USD,0.3211,90,days,bullet,1,,,Complete,30504.23,,,,,,,early_delinquent,0.102939218179669,1.0
Abaco Financial,CLIAB000212,"TRANSPORTES MODERNOS, S.A. DE C.V.","ASSA COMPAÑIA DE SEGUROS, S.A.",DSB1714-015,DSB1714-015,factoring,2025-09-16,53036.01,27298.81,1153.37,138.84,USD,0.3319,90,days,bullet,0,,,Complete,38016.79,,,,,,,current,0.13695296021276585,0.5147221670710146
Abaco Technologies,CLIAB000213,"TRANSPORTES MODERNOS, S.A. DE C.V.","EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. ETESAL, S.A. DE C.V.",DSB1715-016,DSB1715-016,factoring,2025-09-15,56402.58,37746.71,1292.65,14.32,USD,0.3372,30,days,bullet,1,,,Complete,62928.6,,,,,,,early_delinquent,0.1781827371158392,0.669237293755002
Abaco Financial,CLIAB000214,"PRODUCTOS DE CONCRETO, S.A. DE C.V.","HOSPITAL NACIONAL 017 ""SAN JUAN DE DIOS"" SAN MIGUEL",DSB1716-017,DSB1716-017,factoring,2025-09-14,73914.56,66281.92,703.16,35.58,USD,0.3282,30,days,bullet,1,,,Current,5819.34,,,,,,,early_delinquent,0.09713730690307325,0.896736989302243
Abaco Technologies,CLIAB000215,"TRANSPORTES MODERNOS, S.A. DE C.V.","HOSPITAL NACIONAL 018 ""SAN JUAN DE DIOS"" SAN MIGUEL",DSB1717-018,DSB1717-018,factoring,2025-09-13,67008.19,2348.02,2477.22,282.02,USD,0.3646,120,days,bullet,0,,,Current,46106.8,,,,,,,current,0.2320110553191489,0.035040791282379066
Abaco Technologies,CLIAB000216,KEVIN ENRIQUE CLIENTE 019 MORALES,"EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. ETESAL, S.A. DE C.V.",DSB1718-019,DSB1718-019,factoring,2025-09-12,24087.15,64680.85,1450.02,0.26,USD,0.3343,30,days,bullet,0,,,Current,72602.17,,,,,,,current,0.17792131893617014,1.0
Abaco Technologies,CLIAB000217,"SERVICIOS TECNICOS MEDICOS 20, S.A. DE C.V.","EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. ETESAL, S.A. DE C.V.",DSB1719-020,DSB1719-020,factoring,2025-09-11,74483.9,17913.18,2445.22,85.04,USD,0.3692,90,days,bullet,1,,,Current,56099.38,,,,,,,early_delinquent,0.25645990009456254,0.24049734237868858
Abaco Financial,CLIAB000218,"TRANSPORTES MODERNOS, S.A. DE C.V.","ASSA COMPAÑIA DE SEGUROS, S.A.",DSB1720-021,DSB1720-021,factoring,2025-09-10,76885.88,8020.96,1405.86,50.89,USD,0.322,90,days,bullet,0,,,Complete,39165.75,,,,,,,current,0.11177213297872339,0.10432292639428721
Abaco Financial,CLIAB000219,"SERVICIOS TECNICOS MEDICOS 22, S.A. DE C.V.","HOSPITAL NACIONAL 022 ""SAN JUAN DE DIOS"" SAN MIGUEL",DSB1721-022,DSB1721-022,factoring,2025-09-09,16922.51,35298.1,1725.28,247.34,USD,0.3654,30,days,bullet,0,,,Current,13094.3,,,,,,,current,0.20112621489361704,1.0
Abaco Technologies,CLIAB000220,"PRODUCTOS DE CONCRETO, S.A. DE C.V.","EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. ETESAL, S.A. DE C.V.",DSB1722-023,DSB1722-023,factoring,2025-09-08,51749.91,21362.75,1723.01,46.46,USD,0.3419,90,days,bullet,1,,,Current,26570.05,,,,,,,early_delinquent,0.15432418711583917,0.4128074812110784
Abaco Financial,CLIAB000221,"PRODUCTOS DE CONCRETO, S.A. DE C.V.","HOSPITAL NACIONAL 024 ""SAN JUAN DE DIOS"" SAN MIGUEL",DSB1723-024,DSB1723-024,factoring,2025-09-07,65397.85,66982.74,1670.6,37.1,USD,0.2955,30,days,bullet,0,,,Current,73757.64,,,,,,,current,0.075885299574468,1.0
Abaco Technologies,CLIAB000222,"TRANSPORTES MODERNOS, S.A. DE C.V.","HOSPITAL NACIONAL 025 ""SAN JUAN DE DIOS"" SAN MIGUEL",DSB1724-025,DSB1724-025,factoring,2025-09-06,63143.94,34559.14,654.59,28.98,USD,0.3442,30,days,bullet,0,,,Default,43680.66,,,,,,,current,0.47532959617021275,0.547307310883673
Abaco Technologies,CLIAB000223,"SERVICIOS TECNICOS MEDICOS 26, S.A. DE C.V.","EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. ETESAL, S.A. DE C.V.",DSB1725-026,DSB1725-026,factoring,2025-09-05,61183.37,74224.84,2452.55,13.99,USD,0.3557,120,days,bullet,0,,,Current,29203.1,,,,,,,current,0.19143714255319152,1.0
Abaco Technologies,CLIAB000224,"SERVICIOS TECNICOS MEDICOS 27, S.A. DE C.V.","EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. ETESAL, S.A. DE C.V.",DSB1726-027,DSB1726-027,factoring,2025-09-04,45251.19,30648.42,396.27,282.33,USD,0.3375,120,days,bullet,3,,,Current,63481.06,,,,,,,early_delinquent,0.18397751390070927,0.6772953374264853
Abaco Financial,CLIAB000225,"PRODUCTOS DE CONCRETO, S.A. DE C.V.","EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. ETESAL, S.A. DE C.V.",DSB1727-028,DSB1727-028,factoring,2025-09-03,32231.57,14811.51,687.82,252.68,USD,0.3334,90,days,bullet,0,,,Current,37089.19,,,,,,,current,0.1400147219148935,0.45953423925672876
Abaco Technologies,CLIAB000226,"SERVICIOS TECNICOS MEDICOS 29, S.A. DE C.V.","ASSA COMPAÑIA DE SEGUROS, S.A.",DSB1728-029,DSB1728-029,factoring,2025-09-02,57361.54,53131.0,645.06,135.94,USD,0.3687,30,days,bullet,3,,,Current,71966.6,,,,,,,early_delinquent,0.2754417773049646,0.9262477959971088
Abaco Technologies,CLIAB000227,"TRANSPORTES MODERNOS, S.A. DE C.V.","EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. ETESAL, S.A. DE C.V.",DSB1729-030,DSB1729-030,factoring,2025-09-01,3254.22,25302.43,1047.96,211.63,USD,0.3137,30,days,bullet,3,,,Current,41284.76,,,,,,,early_delinquent,0.0984833415602836,1.0
Abaco Financial,CLIAB000228,"SERVICIOS TECNICOS MEDICOS 31, S.A. DE C.V.","ASSA COMPAÑIA DE SEGUROS, S.A.",DSB1730-031,DSB1730-031,factoring,2025-08-31,52794.25,2521.44,1217.63,302.86,USD,0.36,90,days,bullet,0,,,Current,75909.82,,,,,,,current,0.24958003276595742,0.04775974656330945
Abaco Financial,CLIAB000229,"PRODUCTOS DE CONCRETO, S.A. DE C.V.","HOSPITAL NACIONAL 032 ""SAN JUAN DE DIOS"" SAN MIGUEL",DSB1731-032,DSB1731-032,factoring,2025-08-30,50061.25,62103.62,2087.72,143.04,USD,0.3616,120,days,bullet,3,,,Complete,72405.58,,,,,,,early_delinquent,0.2569977785815602,1.0
Abaco Financial,CLIAB000230,"PRODUCTOS DE CONCRETO, S.A. DE C.V.","ASSA COMPAÑIA DE SEGUROS, S.A.",DSB1732-033,DSB1732-033,factoring,2025-08-29,55141.23,14300.64,1362.17,224.03,USD,0.3676,90,days,bullet,3,,,Complete,11711.31,,,,,,,early_delinquent,0.21226095539007087,0.25934568380139505
Abaco Financial,CLIAB000231,KEVIN ENRIQUE CLIENTE 034 MORALES,"EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. ETESAL, S.A. DE C.V.",DSB1733-034,DSB1733-034,factoring,2025-08-28,20412.72,50486.89,1221.14,220.57,USD,0.3577,90,days,bullet,1,,,Complete,67696.57,,,,,,,early_delinquent,0.23747198371158396,1.0
Abaco Financial,CLIAB000232,KEVIN ENRIQUE CLIENTE 035 MORALES,"EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. ETESAL, S.A. DE C.V.",DSB1734-035,DSB1734-035,factoring,2025-08-27,17597.74,67802.89,2395.21,30.39,USD,0.3636,90,days,bullet,3,,,Current,61180.71,,,,,,,early_delinquent,0.25109205751773045,1.0
Abaco Financial,CLIAB000233,KEVIN ENRIQUE CLIENTE 036 MORALES,"ASSA COMPAÑIA DE SEGUROS, S.A.",DSB1735-036,DSB1735-036,factoring,2025-08-26,66789.74,23928.95,1718.53,154.06,USD,0.3674,120,days,bullet,0,,,Current,4320.35,,,,,,,current,0.19767141382978723,0.35827284250545066
Abaco Technologies,CLIAB000234,KEVIN ENRIQUE CLIENTE 037 MORALES,"EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. ETESAL, S.A. DE C.V.",DSB1736-037,DSB1736-037,factoring,2025-08-25,5151.17,39699.31,1758.36,145.74,USD,0.363,30,days,bullet,0,,,Current,26522.91,,,,,,,current,0.20817184617021273,1.0
Abaco Financial,CLIAB000235,"SERVICIOS TECNICOS MEDICOS 38, S.A. DE C.V.","HOSPITAL NACIONAL 038 ""SAN JUAN DE DIOS"" SAN MIGUEL",DSB1737-038,DSB1737-038,factoring,2025-08-24,14447.83,1890.43,2089.91,55.32,USD,0.3653,120,days,bullet,0,,,Current,18815.58,,,,,,,current,0.20658153744680854,0.13084525496216387
Abaco Financial,CLIAB000236,"PRODUCTOS DE CONCRETO, S.A. DE C.V.","HOSPITAL NACIONAL 039 ""SAN JUAN DE DIOS"" SAN MIGUEL",DSB1738-039,DSB1738-039,factoring,2025-08-23,36035.02,66861.05,865.69,221.12,USD,0.3332,120,days,bullet,1,,,Current,56129.99,,,,,,,early_delinquent,0.16074582924349878,1.0
Abaco Financial,CLIAB000237,"PRODUCTOS DE CONCRETO, S.A. DE C.V.","EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. ETESAL, S.A. DE C.V.",DSB1739-040,DSB1739-040,factoring,2025-08-22,10750.57,12529.7,596.52,108.62,USD,0.3054,90,days,bullet,3,,,Complete,46030.57,,,,,,,early_delinquent,0.08115468347517728,1.0
Abaco Technologies,CLIAB000238,"TRANSPORTES MODERNOS, S.A. DE C.V.","ASSA COMPAÑIA DE SEGUROS, S.A.",DSB1740-041,DSB1740-041,factoring,2025-08-21,52062.2,64782.35,410.48,1.8,USD,0.3305,30,days,bullet,1,,,Current,21510.62,,,,,,,early_delinquent,0.11894560817966904,1.0
Abaco Technologies,CLIAB000239,"SERVICIOS TECNICOS MEDICOS 42, S.A. DE C.V.","HOSPITAL NACIONAL 042 ""SAN JUAN DE DIOS"" SAN MIGUEL",DSB1741-042,DSB1741-042,factoring,2025-08-20,12768.02,53879.54,2391.51,11.16,USD,0.3648,90,days,bullet,1,,,Current,48891.04,,,,,,,early_delinquent,0.2375494324349882,1.0
Abaco Technologies,CLIAB000240,"PRODUCTOS DE CONCRETO, S.A. DE C.V.","HOSPITAL NACIONAL 043 ""SAN JUAN DE DIOS"" SAN MIGUEL",DSB1742-043,DSB1742-043,factoring,2025-08-19,73942.68,64165.16,412.51,125.03,USD,0.3201,90,days,bullet,3,,,Complete,50136.35,,,,,,,early_delinquent,0.12435620815602833,0.8677689258760977
Abaco Technologies,CLIAB000241,"SERVICIOS TECNICOS MEDICOS 44, S.A. DE C.V.","ASSA COMPAÑIA DE SEGUROS, S.A.",DSB1743-044,DSB1743-044,factoring,2025-08-18,24743.03,65475.64,1512.37,259.42,USD,0.341,90,days,bullet,0,,,Current,11630.34,,,,,,,current,0.13476863787234047,1.0
Abaco Technologies,CLIAB000242,"TRANSPORTES MODERNOS, S.A. DE C.V.","ASSA COMPAÑIA DE SEGUROS, S.A.",DSB1744-045,DSB1744-045,factoring,2025-08-17,6832.87,42334.16,2152.56,143.23,USD,0.3463,30,days,bullet,3,,,Current,54149.23,,,,,,,early_delinquent,0.19804993921985814,1.0
Abaco Technologies,CLIAB000243,"TRANSPORTES MODERNOS, S.A. DE C.V.","HOSPITAL NACIONAL 046 ""SAN JUAN DE DIOS"" SAN MIGUEL",DSB1745-046,DSB1745-046,factoring,2025-08-16,54426.79,51497.07,819.64,310.49,USD,0.3048,30,days,bullet,0,,,Current,68252.34,,,,,,,current,0.09511404212765959,0.9461713615666109
Abaco Technologies,CLIAB000244,"PRODUCTOS DE CONCRETO, S.A. DE C.V.","EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. ETESAL, S.A. DE C.V.",DSB1746-047,DSB1746-047,factoring,2025-08-15,2671.07,3608.15,1705.14,271.38,USD,0.3631,120,days,bullet,0,,,Current,23566.27,,,,,,,current,0.2054811636170212,1.0
Abaco Financial,CLIAB000245,"SERVICIOS TECNICOS MEDICOS 48, S.A. DE C.V.","EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. ETESAL, S.A. DE C.V.",DSB1747-048,DSB1747-048,factoring,2025-08-14,11988.42,58470.2,2158.56,123.56,USD,0.2966,90,days,bullet,3,,,Default,4888.24,,,,,,,early_delinquent,0.3166080981560282,1.0
Abaco Financial,CLIAB000246,"PRODUCTOS DE CONCRETO, S.A. DE C.V.","HOSPITAL NACIONAL 049 ""SAN JUAN DE DIOS"" SAN MIGUEL",DSB1748-049,DSB1748-049,factoring,2025-08-13,50837.7,35135.62,2004.66,223.86,USD,0.3089,30,days,bullet,1,,,Current,48471.4,,,,,,,early_delinquent,0.08845957966903073,0.6911331551191341
Abaco Financial,CLIAB000247,"SERVICIOS TECNICOS MEDICOS 50, S.A. DE C.V.","ASSA COMPAÑIA DE SEGUROS, S.A.",DSB1749-050,DSB1749-050,factoring,2025-08-12,9211.78,40953.6,550.77,245.0,USD,0.3304,30,days,bullet,1,,,Current,8410.66,,,,,,,early_delinquent,0.10557969073286057,1.0
Abaco Financial,CLIAB000248,"TRANSPORTES MODERNOS, S.A. DE C.V.","ASSA COMPAÑIA DE SEGUROS, S.A.",DSB1750-051,DSB1750-051,factoring,2025-08-11,20306.5,34672.19,262.47,81.73,USD,0.3254,120,days,bullet,0,,,Current,63109.48,,,,,,,current,0.1447584161702128,1.0
Abaco Technologies,CLIAB000249,"PRODUCTOS DE CONCRETO, S.A. DE C.V.","ASSA COMPAÑIA DE SEGUROS, S.A.",DSB1751-052,DSB1751-052,factoring,2025-08-10,695.68,48698.55,2216.69,228.43,USD,0.3184,30,days,bullet,1,,,Complete,33372.99,,,,,,,early_delinquent,0.09862712711583924,1.0
Abaco Technologies,CLIAB000250,"TRANSPORTES MODERNOS, S.A. DE C.V.","HOSPITAL NACIONAL 053 ""SAN JUAN DE DIOS"" SAN MIGUEL",DSB1752-053,DSB1752-053,factoring,2025-08-09,32416.85,38648.7,380.76,21.53,USD,0.3284,90,days,bullet,0,,,Complete,32305.24,,,,,,,current,0.12193289957446812,1.0
Abaco Financial,CLIAB000251,"PRODUCTOS DE CONCRETO, S.A. DE C.V.","HOSPITAL NACIONAL 054 ""SAN JUAN DE DIOS"" SAN MIGUEL",DSB1753-054,DSB1753-054,factoring,2025-08-08,65600.28,30531.83,41.94,23.43,USD,0.3221,30,days,bullet,0,,,Current,26894.88,,,,,,,current,0.09976722042553186,0.4654222512464886
Abaco Financial,CLIAB000252,"TRANSPORTES MODERNOS, S.A. DE C.V.","HOSPITAL NACIONAL 055 ""SAN JUAN DE DIOS"" SAN MIGUEL",DSB1754-055,DSB1754-055,factoring,2025-08-07,15411.16,45647.74,1519.36,63.21,USD,0.3556,30,days,bullet,0,,,Current,27472.21,,,,,,,current,0.18944029510638305,1.0
Abaco Financial,CLIAB000253,"TRANSPORTES MODERNOS, S.A. DE C.V.","ASSA COMPAÑIA DE SEGUROS, S.A.",DSB1755-056,DSB1755-056,factoring,2025-08-06,75173.91,34394.86,4.87,107.97,USD,0.3413,90,days,bullet,0,,,Current,29440.05,,,,,,,current,0.15337622021276592,0.45753719608305593
Abaco Financial,CLIAB000254,"TRANSPORTES MODERNOS, S.A. DE C.V.","EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. ETESAL, S.A. DE C.V.",DSB1756-057,DSB1756-057,factoring,2025-08-05,63190.24,29572.52,2483.93,244.85,USD,0.3435,90,days,bullet,3,,,Complete,23342.29,,,,,,,early_delinquent,0.1597961907092199,0.46799189241882927
Abaco Financial,CLIAB000255,"TRANSPORTES MODERNOS, S.A. DE C.V.","EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. ETESAL, S.A. DE C.V.",DSB1757-058,DSB1757-058,factoring,2025-08-04,13779.42,24331.12,2038.52,277.8,USD,0.3634,90,days,bullet,3,,,Current,60146.53,,,,,,,early_delinquent,0.24952596262411345,1.0
Abaco Technologies,CLIAB000256,KEVIN ENRIQUE CLIENTE 059 MORALES,"EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. ETESAL, S.A. DE C.V.",DSB1758-059,DSB1758-059,factoring,2025-08-03,17379.65,69605.1,91.29,292.81,USD,0.327,120,days,bullet,1,,,Complete,10382.49,,,,,,,early_delinquent,0.09850896754137117,1.0
Abaco Technologies,CLIAB000257,"PRODUCTOS DE CONCRETO, S.A. DE C.V.","EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. ETESAL, S.A. DE C.V.",DSB1759-060,DSB1759-060,factoring,2025-08-02,9358.61,36703.1,431.51,85.25,USD,0.3193,120,days,bullet,1,,,Complete,68522.94,,,,,,,early_delinquent,0.13617069413711574,1.0
Abaco Financial,CLIAB000258,KEVIN ENRIQUE CLIENTE 061 MORALES,"ASSA COMPAÑIA DE SEGUROS, S.A.",DSB1760-061,DSB1760-061,factoring,2025-08-01,5691.71,541.28,2051.14,285.25,USD,0.333,90,days,bullet,1,,,Complete,70595.54,,,,,,,early_delinquent,0.17467946434988182,0.09509971519982571
Abaco Technologies,CLIAB000259,KEVIN ENRIQUE CLIENTE 062 MORALES,"ASSA COMPAÑIA DE SEGUROS, S.A.",DSB1761-062,DSB1761-062,factoring,2025-07-31,24533.64,31116.14,527.09,239.76,USD,0.2984,120,days,bullet,3,,,Complete,19746.41,,,,,,,early_delinquent,0.03625350219858152,1.0
Abaco Financial,CLIAB000260,"TRANSPORTES MODERNOS, S.A. DE C.V.","ASSA COMPAÑIA DE SEGUROS, S.A.",DSB1762-063,DSB1762-063,factoring,2025-07-30,47265.88,2632.98,2189.87,326.04,USD,0.3621,120,days,bullet,0,,,Complete,11080.48,,,,,,,current,0.1903357991489361,0.055705722605820525
Abaco Technologies,CLIAB000261,"SERVICIOS TECNICOS MEDICOS 64, S.A. DE C.V.","ASSA COMPAÑIA DE SEGUROS, S.A.",DSB1763-064,DSB1763-064,factoring,2025-07-29,73589.64,53950.82,1855.71,11.18,USD,0.3247,120,days,bullet,1,,,Current,757.1,,,,,,,early_delinquent,0.08276655626477535,0.7331306417588128
Abaco Financial,CLIAB000262,"PRODUCTOS DE CONCRETO, S.A. DE C.V.","HOSPITAL NACIONAL 065 ""SAN JUAN DE DIOS"" SAN MIGUEL",DSB1764-065,DSB1764-065,factoring,2025-07-28,49598.07,47971.57,21.56,73.34,USD,0.3394,120,days,bullet,3,,,Complete,1536.89,,,,,,,early_delinquent,0.12708653539007084,0.9672063852484583
Abaco Technologies,CLIAB000263,"TRANSPORTES MODERNOS, S.A. DE C.V.","EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. ETESAL, S.A. DE C.V.",DSB1765-066,DSB1765-066,factoring,2025-07-27,60575.83,59545.52,613.76,134.86,USD,0.359,30,days,bullet,1,,,Complete,20210.08,,,,,,,early_delinquent,0.19344294052009453,0.9829914010257886
Abaco Technologies,CLIAB000264,"SERVICIOS TECNICOS MEDICOS 67, S.A. DE C.V.","ASSA COMPAÑIA DE SEGUROS, S.A.",DSB1766-067,DSB1766-067,factoring,2025-07-26,3283.24,18945.01,1787.07,120.68,USD,0.3158,30,days,bullet,0,,,Current,11321.36,,,,,,,current,0.06743838127659577,1.0
Abaco Technologies,CLIAB000265,"PRODUCTOS DE CONCRETO, S.A. DE C.V.","HOSPITAL NACIONAL 068 ""SAN JUAN DE DIOS"" SAN MIGUEL",DSB1767-068,DSB1767-068,factoring,2025-07-25,58235.18,68117.3,988.5,226.7,USD,0.3544,120,days,bullet,0,,,Current,36861.09,,,,,,,current,0.19563768574468082,1.0
Abaco Technologies,CLIAB000266,KEVIN ENRIQUE CLIENTE 069 MORALES,"HOSPITAL NACIONAL 069 ""SAN JUAN DE DIOS"" SAN MIGUEL",DSB1768-069,DSB1768-069,factoring,2025-07-24,36021.52,24542.27,880.44,172.12,USD,0.3556,30,days,bullet,3,,,Default,27981.7,,,,,,,early_delinquent,0.4966164517730497,0.6813224428064113
Abaco Technologies,CLIAB000267,KEVIN ENRIQUE CLIENTE 070 MORALES,"ASSA COMPAÑIA DE SEGUROS, S.A.",DSB1769-070,DSB1769-070,factoring,2025-07-23,76339.49,49972.87,553.39,33.14,USD,0.3466,30,days,bullet,0,,,Current,63248.55,,,,,,,current,0.20128046489361706,0.6546136213380519
Abaco Technologies,CLIAB000268,"TRANSPORTES MODERNOS, S.A. DE C.V.","HOSPITAL NACIONAL 071 ""SAN JUAN DE DIOS"" SAN MIGUEL",DSB1770-071,DSB1770-071,factoring,2025-07-22,76219.01,66538.03,479.27,227.39,USD,0.314,120,days,bullet,1,,,Current,52901.9,,,,,,,early_delinquent,0.10645390945626475,0.8729847055216278
Abaco Technologies,CLIAB000269,"SERVICIOS TECNICOS MEDICOS 72, S.A. DE C.V.","ASSA COMPAÑIA DE SEGUROS, S.A.",DSB1771-072,DSB1771-072,factoring,2025-07-21,14276.25,65468.5,2267.11,278.13,USD,0.3697,30,days,bullet,3,,,Complete,12966.63,,,,,,,early_delinquent,0.21910138177304958,1.0
