Company,Customer ID,Cliente,Pagador,Application ID,Loan ID,Product Type,Disbursement Date,TPV,Disbursement Amount,Origination Fee,Origination Fee Taxes,Loan Currency,Interest Rate APR,Term,Term Unit,Payment Frequency,Days in Default,Pledge To,Pledge Date,Loan Status,Outstanding Loan Value,Other,New Loan ID,New Loan Date,Old Loan ID,Recovery Date,Recovery Value
Abaco Financial,CLIAB001010,"SERVICIOS TECNICOS MEDICOS, S.A. DE C.V. 10",HOSPITAL NACIONAL SAN JUAN DE DIOS 10,DSB1710-011,DSB1710-011,factoring,2025-09-20,11666.35,15471.15,4656.87,2866.34,USD,0.171,90,days,bullet,0,,,Complete,74429.92,,,,,,
Abaco Financial,CLIAB001011,"TRANSPORTES MODERNOS, S.A. DE C.V. 11","ASSA COMPAÑIA DE SEGUROS, S.A. 11",DSB1711-012,DSB1711-012,factoring,2025-09-19,91685.17,82641.75,607.47,734.2,USD,0.2109,60,days,bullet,3,,,Current,73382.46,,,,,,
Abaco Financial,CLIAB001012,"PRODUCTOS DE CONCRETO, S.A. DE C.V. 12","ASSA COMPAÑIA DE SEGUROS, S.A. 12",DSB1712-013,DSB1712-013,factoring,2025-09-18,23791.19,31723.13,594.35,4730.66,USD,0.3609,120,days,bullet,0,,,Current,78513.05,,,,,,
Abaco Financial,CLIAB001013,"PRODUCTOS DE CONCRETO, S.A. DE C.V. 13","EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. 13",DSB1713-014,DSB1713-014,factoring,2025-09-17,4703.84,15243.32,447.67,1513.7,USD,0.3094,180,days,bullet,10,,,Current,57423.45,,,,,,
Abaco Financial,CLIAB001014,"PRODUCTOS DE CONCRETO, S.A. DE C.V. 14","ASSA COMPAÑIA DE SEGUROS, S.A. 14",DSB1714-015,DSB1714-015,factoring,2025-09-16,55930.39,92176.08,3292.74,2894.31,USD,0.3123,180,days,bullet,3,,,Complete,11356.89,,,,,,
Abaco Financial,CLIAB001015,"PRODUCTOS DE CONCRETO, S.A. DE C.V. 15",HOSPITAL NACIONAL SAN JUAN DE DIOS 15,DSB1715-016,DSB1715-016,factoring,2025-09-15,37721.31,17387.64,2098.86,3501.88,USD,0.3176,60,days,bullet,10,,,Current,90493.36,,,,,,
Abaco Financial,CLIAB001016,"SERVICIOS TECNICOS MEDICOS, S.A. DE C.V. 16",HOSPITAL NACIONAL SAN JUAN DE DIOS 16,DSB1716-017,DSB1716-017,factoring,2025-09-14,83149.18,29187.29,3873.86,3249.67,USD,0.3407,120,days,bullet,5,,,Current,86691.68,,,,,,
Abaco Technologies,CLIAB001017,"SERVICIOS TECNICOS MEDICOS, S.A. DE C.V. 17",HOSPITAL NACIONAL SAN JUAN DE DIOS 17,DSB1717-018,DSB1717-018,factoring,2025-09-13,81016.9,16207.73,3359.44,4703.57,USD,0.1645,90,days,bullet,1,,,Current,80011.65,,,,,,
Abaco Financial,CLIAB001018,"SERVICIOS TECNICOS MEDICOS, S.A. DE C.V. 18","EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. 18",DSB1718-019,DSB1718-019,factoring,2025-09-12,32396.75,12433.52,1674.85,750.71,USD,0.2417,90,days,bullet,10,,,Current,10886.39,,,,,,
Abaco Technologies,CLIAB001019,"SERVICIOS TECNICOS MEDICOS, S.A. DE C.V. 19","ASSA COMPAÑIA DE SEGUROS, S.A. 19",DSB1719-020,DSB1719-020,factoring,2025-09-11,95337.04,3093.65,4492.85,2546.68,USD,0.2849,60,days,bullet,1,,,Current,21235.34,,,,,,
Abaco Financial,CLIAB001020,"PRODUCTOS DE CONCRETO, S.A. DE C.V. 20",HOSPITAL NACIONAL SAN JUAN DE DIOS 20,DSB1720-021,DSB1720-021,factoring,2025-09-10,29800.87,6484.15,3815.04,2026.13,USD,0.2346,30,days,bullet,30,,,Current,74616.44,,,,,,
Abaco Technologies,CLIAB001021,"TRANSPORTES MODERNOS, S.A. DE C.V. 21","EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. 21",DSB1721-022,DSB1721-022,factoring,2025-09-09,51990.66,18289.51,1359.97,2376.1,USD,0.3611,60,days,bullet,30,,,Current,3290.87,,,,,,
Abaco Technologies,CLIAB001022,"PRODUCTOS DE CONCRETO, S.A. DE C.V. 22","ASSA COMPAÑIA DE SEGUROS, S.A. 22",DSB1722-023,DSB1722-023,factoring,2025-09-08,26340.54,6284.81,1827.32,604.9,USD,0.2706,90,days,bullet,3,,,Current,97943.24,,,,,,
Abaco Financial,CLIAB001023,"PRODUCTOS DE CONCRETO, S.A. DE C.V. 23",HOSPITAL NACIONAL SAN JUAN DE DIOS 23,DSB1723-024,DSB1723-024,factoring,2025-09-07,93668.31,59523.24,1579.06,679.13,USD,0.3422,180,days,bullet,5,,,Complete,38337.32,,,,,,
Abaco Financial,CLIAB001024,"TRANSPORTES MODERNOS, S.A. DE C.V. 24","ASSA COMPAÑIA DE SEGUROS, S.A. 24",DSB1724-025,DSB1724-025,factoring,2025-09-06,17296.17,68390.74,796.48,1397.6,USD,0.363,180,days,bullet,0,,,Current,72211.94,,,,,,
Abaco Financial,CLIAB001025,"PRODUCTOS DE CONCRETO, S.A. DE C.V. 25",HOSPITAL NACIONAL SAN JUAN DE DIOS 25,DSB1725-026,DSB1725-026,factoring,2025-09-05,5446.15,39969.42,747.44,1530.48,USD,0.2762,30,days,bullet,10,,,Complete,88869.54,,,,,,
Abaco Technologies,CLIAB001026,"SERVICIOS TECNICOS MEDICOS, S.A. DE C.V. 26","ASSA COMPAÑIA DE SEGUROS, S.A. 26",DSB1726-027,DSB1726-027,factoring,2025-09-04,44074.61,32481.12,4681.28,2145.24,USD,0.3774,120,days,bullet,5,,,Current,40068.36,,,,,,
Abaco Financial,CLIAB001027,"TRANSPORTES MODERNOS, S.A. DE C.V. 27","EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. 27",DSB1727-028,DSB1727-028,factoring,2025-09-03,99245.18,50948.1,2195.14,3058.83,USD,0.2968,30,days,bullet,30,,,Current,32594.12,,,,,,
Abaco Financial,CLIAB001028,"PRODUCTOS DE CONCRETO, S.A. DE C.V. 28","EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. 28",DSB1728-029,DSB1728-029,factoring,2025-09-02,89276.05,87625.49,1922.77,3176.8,USD,0.3626,120,days,bullet,0,,,Complete,61265.37,,,,,,
Abaco Technologies,CLIAB001029,"PRODUCTOS DE CONCRETO, S.A. DE C.V. 29",HOSPITAL NACIONAL SAN JUAN DE DIOS 29,DSB1729-030,DSB1729-030,factoring,2025-09-01,75112.19,85262.03,3651.13,2064.94,USD,0.2351,60,days,bullet,10,,,Complete,58517.95,,,,,,
Abaco Technologies,CLIAB001030,"PRODUCTOS DE CONCRETO, S.A. DE C.V. 30","EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. 30",DSB1730-031,DSB1730-031,factoring,2025-08-31,89188.46,5304.03,2769.44,2049.83,USD,0.2747,90,days,bullet,1,,,Current,41504.86,,,,,,
Abaco Technologies,CLIAB001031,"PRODUCTOS DE CONCRETO, S.A. DE C.V. 31","ASSA COMPAÑIA DE SEGUROS, S.A. 31",DSB1731-032,DSB1731-032,factoring,2025-08-30,89451.22,18968.34,4681.34,1095.97,USD,0.2829,120,days,bullet,0,,,Complete,60575.7,,,,,,
Abaco Technologies,CLIAB001032,"SERVICIOS TECNICOS MEDICOS, S.A. DE C.V. 32",HOSPITAL NACIONAL SAN JUAN DE DIOS 32,DSB1732-033,DSB1732-033,factoring,2025-08-29,52366.98,24437.74,3903.7,2945.65,USD,0.1762,90,days,bullet,0,,,Current,93602.76,,,,,,
Abaco Financial,CLIAB001033,"PRODUCTOS DE CONCRETO, S.A. DE C.V. 33","ASSA COMPAÑIA DE SEGUROS, S.A. 33",DSB1733-034,DSB1733-034,factoring,2025-08-28,32276.98,25689.37,2402.05,1592.03,USD,0.2496,180,days,bullet,3,,,Current,47296.39,,,,,,
Abaco Financial,CLIAB001034,"TRANSPORTES MODERNOS, S.A. DE C.V. 34","EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. 34",DSB1734-035,DSB1734-035,factoring,2025-08-27,77429.23,57552.03,1888.03,189.94,USD,0.3793,90,days,bullet,0,,,Default,20477.48,,,,,,
Abaco Technologies,CLIAB001035,"SERVICIOS TECNICOS MEDICOS, S.A. DE C.V. 35","ASSA COMPAÑIA DE SEGUROS, S.A. 35",DSB1735-036,DSB1735-036,factoring,2025-08-26,66504.47,42209.98,4933.29,2097.82,USD,0.3077,180,days,bullet,0,,,Current,38343.39,,,,,,
Abaco Financial,CLIAB001036,"PRODUCTOS DE CONCRETO, S.A. DE C.V. 36","EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. 36",DSB1736-037,DSB1736-037,factoring,2025-08-25,37992.12,5876.16,3591.62,2375.92,USD,0.1944,120,days,bullet,1,,,Complete,40016.59,,,,,,
Abaco Financial,CLIAB001037,"SERVICIOS TECNICOS MEDICOS, S.A. DE C.V. 37","EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. 37",DSB1737-038,DSB1737-038,factoring,2025-08-24,10352.2,37987.8,4756.46,1135.71,USD,0.2347,60,days,bullet,5,,,Current,13979.76,,,,,,
Abaco Technologies,CLIAB001038,"PRODUCTOS DE CONCRETO, S.A. DE C.V. 38",HOSPITAL NACIONAL SAN JUAN DE DIOS 38,DSB1738-039,DSB1738-039,factoring,2025-08-23,74932.17,52851.54,601.21,2866.57,USD,0.1979,120,days,bullet,0,,,Complete,17124.28,,,,,,
Abaco Financial,CLIAB001039,"PRODUCTOS DE CONCRETO, S.A. DE C.V. 39","EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. 39",DSB1739-040,DSB1739-040,factoring,2025-08-22,26983.59,11065.52,4254.16,2833.2,USD,0.1562,90,days,bullet,30,,,Current,68771.65,,,,,,
Abaco Technologies,CLIAB001040,"TRANSPORTES MODERNOS, S.A. DE C.V. 40",HOSPITAL NACIONAL SAN JUAN DE DIOS 40,DSB1740-041,DSB1740-041,factoring,2025-08-21,93744.5,83512.4,3189.0,3512.99,USD,0.3819,90,days,bullet,10,,,Current,34608.3,,,,,,
Abaco Financial,CLIAB001041,"SERVICIOS TECNICOS MEDICOS, S.A. DE C.V. 41","EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. 41",DSB1741-042,DSB1741-042,factoring,2025-08-20,24856.09,6144.22,618.39,3243.26,USD,0.2621,30,days,bullet,3,,,Current,95534.94,,,,,,
Abaco Financial,CLIAB001042,"SERVICIOS TECNICOS MEDICOS, S.A. DE C.V. 42",HOSPITAL NACIONAL SAN JUAN DE DIOS 42,DSB1742-043,DSB1742-043,factoring,2025-08-19,13153.04,92559.35,2945.41,3265.64,USD,0.2269,30,days,bullet,30,,,Current,25116.08,,,,,,
Abaco Technologies,CLIAB001043,"PRODUCTOS DE CONCRETO, S.A. DE C.V. 43","EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. 43",DSB1743-044,DSB1743-044,factoring,2025-08-18,83280.15,10812.2,3433.62,1587.91,USD,0.2996,90,days,bullet,1,,,Current,10793.53,,,,,,
Abaco Technologies,CLIAB001044,"TRANSPORTES MODERNOS, S.A. DE C.V. 44","EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. 44",DSB1744-045,DSB1744-045,factoring,2025-08-17,16175.15,84513.92,71.39,3939.29,USD,0.1518,30,days,bullet,0,,,Current,75596.95,,,,,,
Abaco Financial,CLIAB001045,"TRANSPORTES MODERNOS, S.A. DE C.V. 45",HOSPITAL NACIONAL SAN JUAN DE DIOS 45,DSB1745-046,DSB1745-046,factoring,2025-08-16,18747.56,90362.66,2277.05,2750.23,USD,0.2195,180,days,bullet,0,,,Current,88222.57,,,,,,
Abaco Technologies,CLIAB001046,"SERVICIOS TECNICOS MEDICOS, S.A. DE C.V. 46","ASSA COMPAÑIA DE SEGUROS, S.A. 46",DSB1746-047,DSB1746-047,factoring,2025-08-15,60338.9,97977.5,4128.74,2162.78,USD,0.3258,180,days,bullet,30,,,Current,28533.22,,,,,,
Abaco Financial,CLIAB001047,"SERVICIOS TECNICOS MEDICOS, S.A. DE C.V. 47","EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. 47",DSB1747-048,DSB1747-048,factoring,2025-08-14,87581.64,80400.56,1483.84,3133.8,USD,0.3084,120,days,bullet,30,,,Current,21006.72,,,,,,
Abaco Financial,CLIAB001048,"TRANSPORTES MODERNOS, S.A. DE C.V. 48","ASSA COMPAÑIA DE SEGUROS, S.A. 48",DSB1748-049,DSB1748-049,factoring,2025-08-13,20447.03,78168.28,2298.15,1809.68,USD,0.3955,120,days,bullet,5,,,Complete,19390.85,,,,,,
Abaco Financial,CLIAB001049,"SERVICIOS TECNICOS MEDICOS, S.A. DE C.V. 49",HOSPITAL NACIONAL SAN JUAN DE DIOS 49,DSB1749-050,DSB1749-050,factoring,2025-08-12,31722.04,64605.84,2217.15,2568.57,USD,0.3051,90,days,bullet,0,,,Complete,52679.22,,,,,,
Abaco Financial,CLIAB001050,"TRANSPORTES MODERNOS, S.A. DE C.V. 50",HOSPITAL NACIONAL SAN JUAN DE DIOS 50,DSB1750-051,DSB1750-051,factoring,2025-08-11,77963.08,78120.64,1516.62,3686.16,USD,0.2694,30,days,bullet,0,,,Complete,47373.25,,,,,,
Abaco Technologies,CLIAB001051,"SERVICIOS TECNICOS MEDICOS, S.A. DE C.V. 51","EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. 51",DSB1751-052,DSB1751-052,factoring,2025-08-10,97210.82,14320.67,4593.03,4433.15,USD,0.3404,60,days,bullet,0,,,Current,26684.54,,,,,,
Abaco Technologies,CLIAB001052,"TRANSPORTES MODERNOS, S.A. DE C.V. 52",HOSPITAL NACIONAL SAN JUAN DE DIOS 52,DSB1752-053,DSB1752-053,factoring,2025-08-09,50573.38,54070.74,3908.66,4606.08,USD,0.3758,90,days,bullet,0,,,Complete,5472.14,,,,,,
Abaco Technologies,CLIAB001053,"SERVICIOS TECNICOS MEDICOS, S.A. DE C.V. 53",HOSPITAL NACIONAL SAN JUAN DE DIOS 53,DSB1753-054,DSB1753-054,factoring,2025-08-08,15245.85,51908.06,561.84,2523.13,USD,0.3302,180,days,bullet,0,,,Current,48667.64,,,,,,
Abaco Technologies,CLIAB001054,"PRODUCTOS DE CONCRETO, S.A. DE C.V. 54","EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. 54",DSB1754-055,DSB1754-055,factoring,2025-08-07,2379.69,85899.64,4985.2,2606.17,USD,0.3908,60,days,bullet,3,,,Current,95973.9,,,,,,
Abaco Technologies,CLIAB001055,"PRODUCTOS DE CONCRETO, S.A. DE C.V. 55",HOSPITAL NACIONAL SAN JUAN DE DIOS 55,DSB1755-056,DSB1755-056,factoring,2025-08-06,23735.95,46817.14,4397.21,4001.35,USD,0.3455,90,days,bullet,0,,,Current,65599.4,,,,,,
Abaco Financial,CLIAB001056,"SERVICIOS TECNICOS MEDICOS, S.A. DE C.V. 56","ASSA COMPAÑIA DE SEGUROS, S.A. 56",DSB1756-057,DSB1756-057,factoring,2025-08-05,14050.4,39123.86,1426.7,1579.11,USD,0.3667,60,days,bullet,30,,,Current,50055.15,,,,,,
Abaco Technologies,CLIAB001057,"PRODUCTOS DE CONCRETO, S.A. DE C.V. 57",HOSPITAL NACIONAL SAN JUAN DE DIOS 57,DSB1757-058,DSB1757-058,factoring,2025-08-04,68088.21,64316.76,4186.11,4188.54,USD,0.1785,30,days,bullet,1,,,Current,11958.52,,,,,,
Abaco Financial,CLIAB001058,"PRODUCTOS DE CONCRETO, S.A. DE C.V. 58",HOSPITAL NACIONAL SAN JUAN DE DIOS 58,DSB1758-059,DSB1758-059,factoring,2025-08-03,13061.42,27379.87,541.03,2475.77,USD,0.3331,30,days,bullet,0,,,Current,25991.19,,,,,,
Abaco Financial,CLIAB001059,"TRANSPORTES MODERNOS, S.A. DE C.V. 59","EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. 59",DSB1759-060,DSB1759-060,factoring,2025-08-02,51126.66,14837.07,4995.53,588.13,USD,0.26,60,days,bullet,3,,,Default,30182.62,,,,,,
Abaco Financial,CLIAB001060,"TRANSPORTES MODERNOS, S.A. DE C.V. 60","ASSA COMPAÑIA DE SEGUROS, S.A. 60",DSB1760-061,DSB1760-061,factoring,2025-08-01,69731.98,48309.85,3331.77,369.58,USD,0.2883,30,days,bullet,10,,,Current,76715.55,,,,,,
Abaco Financial,CLIAB001061,"PRODUCTOS DE CONCRETO, S.A. DE C.V. 61",HOSPITAL NACIONAL SAN JUAN DE DIOS 61,DSB1761-062,DSB1761-062,factoring,2025-07-31,58530.54,42272.05,3254.12,4211.55,USD,0.3135,30,days,bullet,0,,,Current,87794.37,,,,,,
Abaco Technologies,CLIAB001062,"PRODUCTOS DE CONCRETO, S.A. DE C.V. 62",HOSPITAL NACIONAL SAN JUAN DE DIOS 62,DSB1762-063,DSB1762-063,factoring,2025-07-30,20777.79,24024.42,461.3,287.28,USD,0.3925,60,days,bullet,0,,,Default,90262.54,,,,,,
Abaco Financial,CLIAB001063,"PRODUCTOS DE CONCRETO, S.A. DE C.V. 63","ASSA COMPAÑIA DE SEGUROS, S.A. 63",DSB1763-064,DSB1763-064,factoring,2025-07-29,80608.33,37383.67,4486.2,1410.25,USD,0.3961,60,days,bullet,0,,,Current,98472.29,,,,,,
Abaco Technologies,CLIAB001064,"PRODUCTOS DE CONCRETO, S.A. DE C.V. 64","ASSA COMPAÑIA DE SEGUROS, S.A. 64",DSB1764-065,DSB1764-065,factoring,2025-07-28,71825.31,37272.85,154.71,1677.31,USD,0.2221,90,days,bullet,10,,,Current,98254.3,,,,,,
Abaco Technologies,CLIAB001065,"TRANSPORTES MODERNOS, S.A. DE C.V. 65","EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. 65",DSB1765-066,DSB1765-066,factoring,2025-07-27,74159.42,33422.06,1211.73,873.24,USD,0.3334,30,days,bullet,0,,,Complete,95346.91,,,,,,
Abaco Financial,CLIAB001066,"SERVICIOS TECNICOS MEDICOS, S.A. DE C.V. 66","EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. 66",DSB1766-067,DSB1766-067,factoring,2025-07-26,13974.72,38566.94,723.68,1576.33,USD,0.3375,60,days,bullet,5,,,Complete,8110.39,,,,,,
Abaco Technologies,CLIAB001067,"SERVICIOS TECNICOS MEDICOS, S.A. DE C.V. 67","EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. 67",DSB1767-068,DSB1767-068,factoring,2025-07-25,13251.63,68888.59,3886.07,3716.04,USD,0.2366,90,days,bullet,1,,,Current,14641.56,,,,,,
Abaco Technologies,CLIAB001068,"PRODUCTOS DE CONCRETO, S.A. DE C.V. 68","EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. 68",DSB1768-069,DSB1768-069,factoring,2025-07-24,92828.69,30390.77,999.04,83.27,USD,0.181,180,days,bullet,10,,,Current,31142.19,,,,,,
Abaco Technologies,CLIAB001069,"SERVICIOS TECNICOS MEDICOS, S.A. DE C.V. 69","EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. 69",DSB1769-070,DSB1769-070,factoring,2025-07-23,40360.24,94936.93,4554.08,4137.6,USD,0.1602,120,days,bullet,0,,,Current,55736.93,,,,,,
Abaco Financial,CLIAB001070,"SERVICIOS TECNICOS MEDICOS, S.A. DE C.V. 70",HOSPITAL NACIONAL SAN JUAN DE DIOS 70,DSB1770-071,DSB1770-071,factoring,2025-07-22,30793.92,91718.45,3284.78,4284.17,USD,0.3443,180,days,bullet,30,,,Current,10600.81,,,,,,
Abaco Technologies,CLIAB001071,"SERVICIOS TECNICOS MEDICOS, S.A. DE C.V. 71",HOSPITAL NACIONAL SAN JUAN DE DIOS 71,DSB1771-072,DSB1771-072,factoring,2025-07-21,49369.82,48610.13,190.45,1867.59,USD,0.2724,60,days,bullet,5,,,Current,84733.9,,,,,,
Abaco Technologies,CLIAB001072,"TRANSPORTES MODERNOS, S.A. DE C.V. 72",HOSPITAL NACIONAL SAN JUAN DE DIOS 72,DSB1772-073,DSB1772-073,factoring,2025-07-20,66623.56,33507.76,37.09,776.53,USD,0.3964,90,days,bullet,1,,,Current,62058.86,,,,,,
Abaco Technologies,CLIAB001073,"TRANSPORTES MODERNOS, S.A. DE C.V. 73","ASSA COMPAÑIA DE SEGUROS, S.A. 73",DSB1773-074,DSB1773-074,factoring,2025-07-19,95606.7,54008.04,267.77,3008.19,USD,0.2662,90,days,bullet,0,,,Current,54694.08,,,,,,
Abaco Financial,CLIAB001074,"TRANSPORTES MODERNOS, S.A. DE C.V. 74","EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. 74",DSB1774-075,DSB1774-075,factoring,2025-07-18,29358.18,85007.49,3033.57,607.17,USD,0.3945,180,days,bullet,30,,,Complete,17365.82,,,,,,
Abaco Technologies,CLIAB001075,"PRODUCTOS DE CONCRETO, S.A. DE C.V. 75","EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. 75",DSB1775-076,DSB1775-076,factoring,2025-07-17,92556.03,65606.15,4009.39,1830.95,USD,0.2529,180,days,bullet,0,,,Current,26072.29,,,,,,
Abaco Technologies,CLIAB001076,"TRANSPORTES MODERNOS, S.A. DE C.V. 76","EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. 76",DSB1776-077,DSB1776-077,factoring,2025-07-16,3461.09,80634.79,1200.38,4792.56,USD,0.3484,180,days,bullet,1,,,Current,16870.89,,,,,,
Abaco Technologies,CLIAB001077,"SERVICIOS TECNICOS MEDICOS, S.A. DE C.V. 77","ASSA COMPAÑIA DE SEGUROS, S.A. 77",DSB1777-078,DSB1777-078,factoring,2025-07-15,55964.61,53739.51,4248.55,4977.37,USD,0.1712,120,days,bullet,1,,,Current,85341.38,,,,,,
Abaco Financial,CLIAB001078,"TRANSPORTES MODERNOS, S.A. DE C.V. 78",HOSPITAL NACIONAL SAN JUAN DE DIOS 78,DSB1778-079,DSB1778-079,factoring,2025-07-14,63763.54,63658.85,295.59,3862.8,USD,0.2889,90,days,bullet,0,,,Complete,58838.56,,,,,,
Abaco Financial,CLIAB001079,"PRODUCTOS DE CONCRETO, S.A. DE C.V. 79",HOSPITAL NACIONAL SAN JUAN DE DIOS 79,DSB1779-080,DSB1779-080,factoring,2025-07-13,11483.84,29527.41,4006.81,1561.7,USD,0.3505,90,days,bullet,1,,,Current,73777.81,,,,,,
Abaco Financial,CLIAB001080,"TRANSPORTES MODERNOS, S.A. DE C.V. 80",HOSPITAL NACIONAL SAN JUAN DE DIOS 80,DSB1780-081,DSB1780-081,factoring,2025-07-12,14893.62,73754.42,4639.7,3441.45,USD,0.3812,180,days,bullet,0,,,Current,30307.25,,,,,,
Abaco Technologies,CLIAB001081,"SERVICIOS TECNICOS MEDICOS, S.A. DE C.V. 81","EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. 81",DSB1781-082,DSB1781-082,factoring,2025-07-11,42492.32,21038.05,3862.82,3529.98,USD,0.3556,60,days,bullet,0,,,Current,37754.01,,,,,,
Abaco Technologies,CLIAB001082,"PRODUCTOS DE CONCRETO, S.A. DE C.V. 82","ASSA COMPAÑIA DE SEGUROS, S.A. 82",DSB1782-083,DSB1782-083,factoring,2025-07-10,96656.96,69785.01,3493.62,1945.33,USD,0.1592,60,days,bullet,0,,,Current,41080.64,,,,,,
Abaco Financial,CLIAB001083,"TRANSPORTES MODERNOS, S.A. DE C.V. 83","EMPRESA TRANSMISORA DE EL SALVADOR, S.A. DE C.V. 83",DSB1783-084,DSB1783-084,factoring,2025-07-09,60008.21,86211.19,4191.52,3208.03,USD,0.2432,180,days,bullet,0,,,Current,76241.48,,,,,,
